iteration, max_score, min_score 
0,541,541
1,521,537
2,501,525
3,485,513
4,475,501
5,463,491
6,457,479
7,451,469
8,439,463
9,433,455
10,427,449
11,427,443
12,421,435
13,415,429
14,407,425
15,407,421
16,401,415
17,401,411
18,397,407
19,397,407
20,393,403
21,393,401
22,391,399
23,391,397
24,389,393
25,389,393
26,387,391
27,387,391
28,385,389
29,385,389
30,383,389
31,383,387
32,381,387
33,381,385
34,381,385
35,379,383
36,379,381
37,379,381
38,379,381
39,377,379
40,377,379
41,377,379
42,377,379
43,375,379
44,375,377
45,375,377
46,375,377
47,373,377
48,371,375
49,371,375
50,371,375
51,371,375
52,371,373
53,371,373
54,371,371
55,369,371
56,369,371
57,367,371
58,367,371
59,367,369
60,367,369
61,367,369
62,367,369
63,367,369
64,365,367
65,365,367
66,365,367
67,365,367
68,365,367
69,365,367
70,365,365
71,365,365
72,365,365
73,365,365
74,365,365
75,365,365
76,365,365
77,365,365
78,365,365
79,363,365
80,363,365
81,363,365
82,363,365
83,363,365
84,363,365
85,363,363
86,363,363
87,363,363
88,363,363
89,363,363
90,363,363
91,363,363
92,363,363
93,363,363
94,363,363
95,363,363
96,363,363
97,363,363
98,363,363
99,363,363
100,363,363
101,363,363
102,363,363
103,363,363
104,363,363
105,363,363
106,363,363
107,363,363
108,363,363
109,363,363
110,363,363
111,363,363
112,363,363
113,363,363
114,363,363
115,363,363
116,363,363
117,363,363
118,363,363
119,363,363
120,363,363
121,363,363
122,363,363
123,363,363
124,363,363
125,363,363
126,363,363
127,361,363
128,361,363
129,361,363
130,361,363
131,361,363
132,361,363
