iteration, max_score, min_score 
0,1140,1140
1,1118,1132
2,1102,1118
3,1088,1106
4,1076,1094
5,1058,1084
6,1044,1074
7,1038,1064
8,1034,1054
9,1024,1044
10,1018,1034
11,1006,1028
12,998,1020
13,990,1014
14,980,1006
15,972,1000
16,966,992
17,960,986
18,958,980
19,950,972
20,944,966
21,940,960
22,932,954
23,930,950
24,922,944
25,916,938
26,910,934
27,906,930
28,906,926
29,906,922
30,904,918
31,902,912
32,900,908
33,898,906
34,896,904
35,894,902
36,894,900
37,890,898
38,888,896
39,884,896
40,878,894
41,878,892
42,874,892
43,874,890
44,874,888
45,872,886
46,872,882
47,870,878
48,870,876
49,868,874
50,868,874
51,866,872
52,866,872
53,864,870
54,862,870
55,862,868
56,862,868
57,862,866
58,860,864
59,860,864
60,860,862
61,860,862
62,860,862
63,858,860
64,858,860
65,858,860
66,858,860
67,858,860
68,858,860
69,858,860
70,858,858
71,858,858
72,858,858
73,858,858
74,858,858
75,858,858
76,858,858
77,856,858
78,856,858
79,854,858
80,854,858
81,854,858
82,854,858
83,854,856
84,854,856
85,854,856
86,854,854
87,854,854
88,854,854
89,854,854
90,854,854
91,854,854
92,854,854
93,852,854
94,852,854
95,852,854
96,852,854
97,852,854
98,850,854
99,850,854
100,850,852
101,850,852
102,850,852
103,850,852
104,850,852
105,850,850
106,850,850
107,850,850
108,850,850
109,850,850
110,850,850
111,850,850
112,850,850
113,850,850
114,850,850
115,850,850
116,850,850
117,850,850
118,850,850
119,850,850
120,850,850
121,850,850
122,850,850
123,850,850
124,848,850
125,848,850
126,846,850
127,846,850
128,846,850
129,846,850
130,846,850
131,846,848
132,846,848
133,846,848
134,846,846
135,846,846
136,846,846
137,846,846
138,846,846
139,846,846
140,846,846
141,846,846
142,846,846
143,846,846
144,846,846
145,846,846
146,846,846
147,846,846
148,846,846
149,846,846
150,846,846
151,844,846
152,844,846
153,844,846
154,844,846
155,844,846
156,844,846
157,844,846
158,844,846
159,844,844
160,844,844
161,844,844
162,844,844
163,842,844
164,842,844
165,842,844
166,842,844
167,842,844
168,842,844
169,842,844
170,840,842
171,840,842
172,840,842
173,840,842
174,840,842
175,840,842
176,840,842
177,840,840
178,840,840
179,840,840
180,840,840
181,840,840
182,840,840
183,840,840
184,840,840
185,840,840
186,840,840
187,840,840
188,840,840
189,840,840
190,838,840
191,838,840
192,838,840
193,838,840
194,838,840
195,838,840
196,838,840
197,838,838
198,838,838
199,838,838
200,838,838
201,838,838
202,838,838
203,838,838
204,838,838
205,838,838
206,838,838
207,838,838
208,838,838
209,838,838
210,838,838
211,838,838
212,838,838
213,838,838
214,838,838
215,838,838
216,838,838
217,838,838
218,838,838
219,838,838
220,838,838
221,838,838
222,836,838
223,836,838
224,836,838
225,836,838
226,836,838
227,836,838
228,836,838
229,836,836
230,836,836
231,836,836
232,836,836
233,836,836
234,836,836
235,836,836
236,836,836
237,836,836
238,836,836
239,836,836
240,836,836
241,834,836
242,834,836
243,834,836
244,834,836
245,834,836
