iteration, max_score, min_score 
0,1625,1625
1,1603,1625
2,1591,1615
3,1585,1609
4,1579,1601
5,1573,1593
6,1567,1589
7,1563,1583
8,1555,1577
9,1545,1573
10,1543,1567
11,1535,1563
12,1533,1557
13,1531,1551
14,1527,1545
15,1521,1539
16,1517,1535
17,1511,1531
18,1509,1527
19,1505,1521
20,1497,1517
21,1497,1513
22,1481,1509
23,1481,1505
24,1477,1501
25,1475,1497
26,1473,1491
27,1467,1487
28,1467,1481
29,1463,1479
30,1461,1475
31,1457,1473
32,1457,1467
33,1453,1465
34,1453,1463
35,1453,1461
36,1447,1459
37,1443,1457
38,1441,1453
39,1441,1451
40,1441,1449
41,1439,1447
42,1435,1445
43,1435,1443
44,1433,1441
45,1433,1439
46,1427,1437
47,1425,1437
48,1425,1435
49,1423,1433
50,1421,1431
51,1419,1427
52,1417,1425
53,1417,1425
54,1415,1421
55,1415,1421
56,1415,1419
57,1403,1417
58,1403,1417
59,1401,1415
60,1401,1415
61,1401,1413
62,1399,1411
63,1399,1411
64,1399,1407
65,1397,1403
66,1397,1401
67,1395,1401
68,1395,1399
69,1393,1399
70,1393,1397
71,1391,1397
72,1391,1395
73,1391,1395
74,1389,1395
75,1389,1393
76,1387,1391
77,1387,1391
78,1385,1391
79,1385,1389
80,1383,1389
81,1383,1387
82,1383,1387
83,1381,1387
84,1379,1385
85,1377,1385
86,1377,1383
87,1377,1383
88,1377,1381
89,1375,1381
90,1375,1379
91,1371,1379
92,1371,1377
93,1369,1377
94,1369,1375
95,1369,1375
96,1369,1373
97,1367,1373
98,1365,1371
99,1365,1371
100,1365,1369
101,1361,1369
102,1361,1369
103,1361,1367
104,1361,1367
105,1359,1365
106,1359,1365
107,1359,1365
108,1357,1363
109,1357,1361
110,1355,1361
111,1355,1359
112,1355,1359
113,1355,1359
114,1353,1357
115,1353,1357
116,1353,1355
117,1351,1355
118,1351,1355
119,1351,1353
120,1349,1353
121,1349,1353
122,1349,1351
123,1347,1351
124,1347,1351
125,1345,1349
126,1345,1349
127,1345,1349
128,1345,1347
129,1343,1347
130,1343,1347
131,1343,1345
132,1341,1345
133,1341,1345
134,1341,1343
135,1339,1343
136,1339,1343
137,1339,1341
138,1339,1341
139,1337,1341
140,1337,1341
141,1337,1339
142,1335,1339
143,1335,1339
144,1335,1339
145,1335,1337
146,1335,1337
147,1333,1337
148,1333,1337
149,1331,1335
150,1331,1335
151,1331,1335
152,1331,1335
153,1331,1333
154,1329,1333
155,1329,1333
156,1329,1331
157,1329,1331
158,1327,1331
159,1327,1331
160,1327,1329
161,1327,1329
162,1325,1329
163,1325,1329
164,1325,1327
165,1325,1327
166,1325,1327
167,1325,1327
168,1325,1327
169,1325,1325
170,1325,1325
171,1325,1325
172,1325,1325
173,1323,1325
174,1323,1325
175,1323,1325
176,1323,1325
177,1323,1325
178,1323,1325
179,1323,1325
180,1323,1325
181,1323,1323
182,1323,1323
183,1323,1323
184,1323,1323
185,1323,1323
186,1323,1323
187,1323,1323
188,1317,1323
189,1317,1323
190,1317,1323
191,1317,1323
192,1317,1323
193,1317,1323
194,1317,1323
195,1317,1323
196,1317,1317
197,1317,1317
198,1317,1317
199,1317,1317
200,1317,1317
201,1315,1317
202,1315,1317
203,1315,1317
204,1315,1317
205,1309,1317
206,1309,1317
207,1309,1317
208,1309,1317
209,1309,1315
210,1309,1315
211,1309,1315
212,1309,1315
213,1309,1309
214,1309,1309
215,1309,1309
216,1309,1309
217,1309,1309
218,1309,1309
219,1309,1309
220,1309,1309
221,1309,1309
222,1307,1309
223,1307,1309
224,1307,1309
225,1307,1309
226,1307,1309
227,1307,1309
228,1307,1309
229,1307,1309
230,1307,1307
231,1307,1307
232,1307,1307
233,1307,1307
234,1307,1307
235,1307,1307
236,1307,1307
237,1307,1307
238,1307,1307
239,1305,1307
240,1305,1307
241,1305,1307
242,1305,1307
243,1305,1307
244,1305,1307
245,1303,1307
246,1303,1307
247,1303,1305
248,1303,1305
249,1303,1305
250,1303,1305
251,1303,1305
