539 : [(5, 7), (1, 0), (23, 8), (22, 16), (20, 10), (15, 8), (15, 21), (13, 18), (15, 5), (10, 7), (7, 13), (22, 13), (6, 14), (3, 5), (19, 5), (23, 4), (3, 0), (15, 17), (22, 11), (16, 9), (3, 4), (2, 20), (19, 2), (10, 4), (3, 23), (7, 9), (3, 15), (11, 24), (9, 13), (20, 19)]
543 : [(3, 23), (20, 10), (1, 0), (19, 5), (15, 21), (15, 5), (22, 13), (23, 8), (22, 11), (10, 4), (19, 2), (3, 4), (15, 17), (3, 0), (3, 5), (5, 7), (2, 20), (7, 13), (20, 19), (22, 16), (3, 15), (23, 4), (11, 24), (15, 8), (16, 9), (6, 14), (7, 9), (13, 18), (9, 13), (10, 7)]
557 : [(6, 14), (22, 16), (15, 21), (19, 2), (3, 15), (10, 7), (3, 5), (15, 8), (19, 5), (15, 17), (15, 5), (23, 4), (9, 13), (7, 13), (7, 9), (2, 20), (20, 10), (3, 4), (3, 23), (10, 4), (13, 18), (1, 0), (22, 13), (16, 9), (5, 7), (20, 19), (11, 24), (3, 0), (23, 8), (22, 11)]
537 : [(3, 23), (15, 21), (10, 4), (10, 7), (15, 17), (16, 9), (2, 20), (3, 0), (22, 11), (9, 13), (6, 14), (15, 8), (23, 8), (7, 9), (7, 13), (11, 24), (15, 5), (5, 7), (13, 18), (3, 15), (19, 2), (23, 4), (20, 19), (20, 10), (3, 5), (3, 4), (19, 5), (22, 16), (22, 13), (1, 0)]
545 : [(15, 5), (9, 13), (20, 10), (15, 21), (5, 7), (3, 5), (10, 7), (15, 17), (3, 4), (19, 2), (7, 13), (19, 5), (16, 9), (3, 23), (22, 16), (7, 9), (15, 8), (20, 19), (3, 0), (1, 0), (3, 15), (22, 13), (2, 20), (13, 18), (23, 8), (11, 24), (23, 4), (22, 11), (10, 4), (6, 14)]
555 : [(3, 23), (3, 0), (7, 9), (6, 14), (23, 8), (3, 15), (11, 24), (3, 4), (15, 21), (16, 9), (7, 13), (15, 5), (22, 16), (10, 7), (2, 20), (15, 8), (15, 17), (19, 2), (20, 10), (3, 5), (22, 13), (20, 19), (23, 4), (19, 5), (10, 4), (13, 18), (1, 0), (5, 7), (22, 11), (9, 13)]
551 : [(15, 21), (6, 14), (9, 13), (22, 13), (3, 4), (7, 13), (1, 0), (10, 4), (20, 10), (19, 2), (16, 9), (2, 20), (22, 16), (20, 19), (23, 4), (3, 5), (5, 7), (11, 24), (3, 23), (7, 9), (22, 11), (19, 5), (10, 7), (15, 5), (23, 8), (3, 0), (3, 15), (13, 18), (15, 8), (15, 17)]
555 : [(15, 17), (19, 5), (19, 2), (22, 11), (10, 4), (10, 7), (6, 14), (3, 5), (20, 19), (15, 21), (7, 13), (15, 8), (16, 9), (15, 5), (20, 10), (23, 4), (13, 18), (3, 15), (11, 24), (22, 13), (23, 8), (2, 20), (1, 0), (9, 13), (22, 16), (7, 9), (3, 23), (5, 7), (3, 0), (3, 4)]
563 : [(2, 20), (23, 8), (10, 7), (1, 0), (5, 7), (22, 13), (10, 4), (7, 9), (20, 19), (13, 18), (15, 5), (15, 21), (3, 0), (23, 4), (19, 5), (15, 8), (7, 13), (15, 17), (3, 23), (22, 11), (22, 16), (16, 9), (3, 15), (6, 14), (11, 24), (3, 5), (3, 4), (20, 10), (9, 13), (19, 2)]
555 : [(19, 5), (13, 18), (3, 5), (15, 17), (15, 8), (23, 8), (7, 13), (20, 10), (15, 21), (10, 7), (22, 16), (1, 0), (16, 9), (10, 4), (6, 14), (3, 15), (19, 2), (22, 11), (7, 9), (20, 19), (9, 13), (22, 13), (3, 23), (15, 5), (3, 4), (5, 7), (3, 0), (23, 4), (11, 24), (2, 20)]
