695 : [(24, 12), (18, 13), (2, 5), (0, 15), (1, 21), (22, 10), (11, 12), (15, 13), (15, 10), (22, 18), (3, 0), (13, 19), (22, 8), (15, 4), (16, 21), (8, 18), (12, 20), (5, 17), (10, 4), (14, 1), (12, 13), (8, 23), (4, 0), (4, 3), (10, 20), (11, 7), (10, 5), (18, 21), (9, 23), (19, 9), (11, 15), (17, 11), (19, 8), (14, 6), (23, 20), (14, 5), (1, 22), (6, 9), (13, 11), (14, 7)]
669 : [(14, 1), (14, 7), (18, 13), (10, 5), (2, 5), (10, 4), (17, 11), (1, 22), (15, 13), (19, 9), (13, 11), (14, 6), (11, 12), (4, 0), (14, 5), (22, 8), (8, 23), (6, 9), (5, 17), (8, 18), (22, 10), (24, 12), (23, 20), (4, 3), (0, 15), (3, 0), (15, 4), (11, 15), (13, 19), (16, 21), (10, 20), (11, 7), (12, 20), (15, 10), (9, 23), (12, 13), (22, 18), (1, 21), (19, 8), (18, 21)]
629 : [(10, 4), (18, 13), (11, 7), (8, 18), (16, 21), (13, 19), (17, 11), (2, 5), (19, 9), (13, 11), (0, 15), (22, 8), (6, 9), (3, 0), (4, 3), (10, 20), (1, 22), (14, 6), (11, 12), (15, 4), (15, 10), (23, 20), (14, 1), (10, 5), (18, 21), (14, 5), (5, 17), (19, 8), (12, 20), (24, 12), (15, 13), (22, 18), (1, 21), (12, 13), (14, 7), (8, 23), (11, 15), (22, 10), (4, 0), (9, 23)]
645 : [(2, 5), (16, 21), (4, 0), (18, 13), (23, 20), (19, 9), (14, 6), (11, 7), (11, 12), (9, 23), (14, 5), (22, 8), (24, 12), (13, 11), (6, 9), (10, 5), (1, 21), (17, 11), (8, 23), (15, 10), (8, 18), (12, 13), (11, 15), (1, 22), (5, 17), (15, 13), (10, 20), (3, 0), (12, 20), (19, 8), (4, 3), (14, 1), (14, 7), (0, 15), (15, 4), (13, 19), (18, 21), (10, 4), (22, 10), (22, 18)]
663 : [(15, 4), (10, 4), (17, 11), (18, 21), (4, 0), (11, 15), (22, 18), (14, 1), (0, 15), (6, 9), (8, 23), (22, 8), (10, 20), (15, 13), (1, 22), (2, 5), (10, 5), (22, 10), (23, 20), (24, 12), (3, 0), (11, 12), (14, 5), (12, 13), (5, 17), (19, 9), (8, 18), (12, 20), (9, 23), (18, 13), (1, 21), (11, 7), (15, 10), (19, 8), (14, 6), (16, 21), (14, 7), (13, 11), (13, 19), (4, 3)]
653 : [(22, 18), (8, 23), (6, 9), (22, 10), (11, 7), (4, 0), (3, 0), (24, 12), (22, 8), (13, 11), (0, 15), (10, 4), (12, 13), (1, 21), (18, 13), (12, 20), (5, 17), (14, 1), (10, 5), (14, 5), (18, 21), (23, 20), (11, 15), (2, 5), (1, 22), (14, 7), (19, 8), (19, 9), (14, 6), (11, 12), (8, 18), (17, 11), (15, 10), (15, 13), (4, 3), (10, 20), (13, 19), (15, 4), (16, 21), (9, 23)]
653 : [(11, 7), (16, 21), (18, 21), (11, 12), (5, 17), (15, 10), (18, 13), (15, 4), (9, 23), (4, 0), (10, 5), (13, 19), (23, 20), (14, 5), (12, 20), (3, 0), (15, 13), (22, 8), (12, 13), (8, 18), (14, 6), (6, 9), (2, 5), (22, 10), (17, 11), (10, 4), (13, 11), (11, 15), (0, 15), (10, 20), (22, 18), (1, 21), (14, 1), (1, 22), (19, 9), (4, 3), (8, 23), (14, 7), (19, 8), (24, 12)]
643 : [(19, 8), (11, 15), (19, 9), (14, 7), (10, 5), (10, 4), (15, 13), (24, 12), (1, 22), (22, 8), (11, 12), (14, 1), (15, 4), (15, 10), (4, 3), (13, 19), (4, 0), (18, 13), (8, 23), (6, 9), (3, 0), (10, 20), (23, 20), (17, 11), (14, 6), (12, 20), (11, 7), (9, 23), (12, 13), (1, 21), (2, 5), (16, 21), (18, 21), (8, 18), (22, 10), (13, 11), (5, 17), (14, 5), (0, 15), (22, 18)]
653 : [(11, 7), (18, 13), (12, 13), (11, 15), (8, 23), (23, 20), (19, 9), (13, 11), (15, 13), (6, 9), (15, 4), (10, 20), (3, 0), (5, 17), (22, 10), (10, 4), (14, 1), (0, 15), (15, 10), (12, 20), (16, 21), (1, 21), (22, 8), (4, 3), (1, 22), (11, 12), (14, 5), (8, 18), (19, 8), (22, 18), (9, 23), (4, 0), (18, 21), (17, 11), (2, 5), (10, 5), (14, 7), (14, 6), (13, 19), (24, 12)]
645 : [(13, 11), (16, 21), (14, 5), (1, 21), (0, 15), (4, 0), (11, 7), (22, 18), (18, 21), (11, 12), (10, 20), (9, 23), (14, 7), (24, 12), (1, 22), (8, 23), (19, 9), (10, 4), (10, 5), (6, 9), (22, 8), (11, 15), (3, 0), (15, 4), (2, 5), (14, 1), (15, 10), (14, 6), (17, 11), (13, 19), (12, 20), (12, 13), (8, 18), (18, 13), (23, 20), (19, 8), (5, 17), (15, 13), (22, 10), (4, 3)]
